,NAME,ID,PRETTY_NAME,VERSION,ID_LIKE,VERSION_ID,PLATFORM_ID,ANSI_COLOR,LOGO,CPE_NAME,HOME_URL,DOCUMENTATION_URL,BUG_REPORT_URL,ALMALINUX_MANTISBT_PROJECT,ALMALINUX_MANTISBT_PROJECT_VERSION,REDHAT_SUPPORT_PRODUCT,REDHAT_SUPPORT_PRODUCT_VERSION,SUPPORT_END,BUILD_ID,SUPPORT_URL,PRIVACY_POLICY_URL,VERSION_CODENAME,REDHAT_BUGZILLA_PRODUCT,REDHAT_BUGZILLA_PRODUCT_VERSION,ROCKY_SUPPORT_PRODUCT,ROCKY_SUPPORT_PRODUCT_VERSION,UBUNTU_CODENAME
0,AlmaLinux,almalinux,AlmaLinux 8.10 (Cerulean Leopard),8.10 (Cerulean Leopard),rhel centos fedora,8.10,platform:el8,0;34,fedora-logo-icon,cpe:/o:almalinux:almalinux:8::baseos,https://almalinux.org/,https://wiki.almalinux.org/,https://bugs.almalinux.org/,AlmaLinux-8,8.10,AlmaLinux,8.10,2029-06-01,,,,,,,,,
1,AlmaLinux,almalinux,AlmaLinux 9.4 (Seafoam Ocelot),9.4 (Seafoam Ocelot),rhel centos fedora,9.4,platform:el9,0;34,fedora-logo-icon,cpe:/o:almalinux:almalinux:9::baseos,https://almalinux.org/,https://wiki.almalinux.org/,https://bugs.almalinux.org/,AlmaLinux-9,9.4,AlmaLinux,9.4,2032-06-01,,,,,,,,,
2,Arch Linux,arch,Arch Linux,,,20240101.0.204074,,38;2;23;147;209,archlinux-logo,,https://archlinux.org/,https://wiki.archlinux.org/,https://bugs.archlinux.org/,,,,,,rolling,https://bbs.archlinux.org/,https://terms.archlinux.org/docs/privacy-policy/,,,,,,
3,Debian GNU/Linux,debian,Debian GNU/Linux 12 (bookworm),12 (bookworm),,12,,,,,https://www.debian.org/,,https://bugs.debian.org/,,,,,,,https://www.debian.org/support,,bookworm,,,,,
4,Debian GNU/Linux,debian,Debian GNU/Linux trixie/sid,,,,,,,,https://www.debian.org/,,https://bugs.debian.org/,,,,,,,https://www.debian.org/support,,trixie,,,,,
5,Red Hat Enterprise Linux,rhel,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),fedora,8.10,platform:el8,0;31,,cpe:/o:redhat:enterprise_linux:8::baseos,https://www.redhat.com/,https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/8,https://bugzilla.redhat.com/,,,Red Hat Enterprise Linux,8.10,,,,,,Red Hat Enterprise Linux 8,8.10,,,
6,Red Hat Enterprise Linux,rhel,Red Hat Enterprise Linux 9.4 (Plow),9.4 (Plow),fedora,9.4,platform:el9,0;31,fedora-logo-icon,cpe:/o:redhat:enterprise_linux:9::baseos,https://www.redhat.com/,https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9,https://bugzilla.redhat.com/,,,Red Hat Enterprise Linux,9.4,,,,,,Red Hat Enterprise Linux 9,9.4,,,
7,Rocky Linux,rocky,Rocky Linux 8.9 (Green Obsidian),8.9 (Green Obsidian),rhel centos fedora,8.9,platform:el8,0;32,fedora-logo-icon,cpe:/o:rocky:rocky:8:GA,https://rockylinux.org/,,https://bugs.rockylinux.org/,,,Rocky Linux,8.9,2029-05-31,,,,,,,Rocky-Linux-8,8.9,
8,Rocky Linux,rocky,Rocky Linux 9.3 (Blue Onyx),9.3 (Blue Onyx),rhel centos fedora,9.3,platform:el9,0;32,fedora-logo-icon,cpe:/o:rocky:rocky:9::baseos,https://rockylinux.org/,,https://bugs.rockylinux.org/,,,Rocky Linux,9.3,2032-05-31,,,,,,,Rocky-Linux-9,9.3,
9,Ubuntu,ubuntu,Ubuntu 22.04.4 LTS,22.04.4 LTS (Jammy Jellyfish),debian,22.04,,,,,https://www.ubuntu.com/,,https://bugs.launchpad.net/ubuntu/,,,,,,,https://help.ubuntu.com/,https://www.ubuntu.com/legal/terms-and-policies/privacy-policy,jammy,,,,,jammy
